Scenario_ID,Node,Equipment,Scenario_Name,What_If_Question,Modbus_Commands,Consequences,Observable_Indicators,Time_to_Failure,Consequence_Severity,Likelihood,Risk_Level,Mitigation_PLC_Interlock,Mitigation_Alarm,Estimated_Damage_Cost
4.4,RO Membrane,XV-202,Reject Valve Closed,Close reject valve only,Write Coil 6 = 0 (valve_202_open),"Brine cannot discharge, Pressure builds, Reduced recovery, Membrane fouling accelerates","Register 13 (Q_brine) = 0, Register 20 (dP_ro_true) increasing",Variable,3 - Moderate,D - High,MEDIUM,None,Q_brine < 10 m³/h,"$10,000"
5.1,Post-Treatment,P-301,NaOH Overdose Attack,Excessive caustic dosing,"Write Coil 9 = 1 (naoh_pump_on), Write Register 0 = 200 (NaOH_dose = 20.0 mg/L)","pH rises above 8.5, Corrosive water, Pipe/equipment corrosion, Regulatory violation, Customer complaints",Register 23 (pH_true) > 850,5 min,3 - Moderate,D - High,MEDIUM,IF pH_true > 8.3 THEN naoh_pump_on = FALSE,pH_true > 8.3,"$8,000"
5.2,Post-Treatment,P-302,Chlorine Overdose Attack,Excessive chlorine dosing,"Write Coil 10 = 1 (cl_pump_on), Write Register 1 = 50 (Cl_dose = 5.0 mg/L)","Chlorine residual > 2.0 mg/L, Taste/odor complaints, Regulatory violation, Potential health concerns",Register 24 (Cl_true) > 200,3 min,3 - Moderate,D - High,MEDIUM,IF Cl_true > 1.5 mg/L THEN cl_pump_on = FALSE,Cl_true > 1.5 mg/L,"$5,000"
5.3,Post-Treatment,P-301 + P-302,Dosing Without Flow,Run dosing pumps with no process flow,"Write Coil 1 = 0 (ro_feed_pump_on), Write Coil 9 = 1 (naoh_pump_on), Write Coil 10 = 1 (cl_pump_on)","Chemicals concentrate in stagnant pipe, Super-chlorination (50+ mg/L), Pipe corrosion, Hazardous slug when flow resumes","Register 11 (Q_feed) = 0, Register 24 (Cl_true) > 5000",Immediate,4 - Major,C - Medium,MEDIUM,IF Q_perm < 10 m³/h THEN (naoh_pump_on = FALSE AND cl_pump_on = FALSE),Q_perm < 10 m³/h,"$15,000"
6.1,Clearwell,TK-300,Clearwell Overflow,Fill faster than discharge,"Write Coil 1 = 1 (ro_feed_pump_on), Write Coil 3 = 0 (dist_pump_on)","Tank level rises to 6.0m max, Overflow, Product water loss, Flooding",Register 16 (level_clearwell) > 580,40 min,3 - Moderate,D - High,MEDIUM,IF level_clearwell > 5.5m THEN ro_feed_pump_on = FALSE,level_clearwell > 5.5m,"$10,000"
6.2,Clearwell,TK-300,Clearwell Depletion,Discharge faster than fill,"Write Coil 1 = 0 (ro_feed_pump_on), Write Coil 3 = 1 (dist_pump_on), Write Register 2 = 150 (Q_out_sp = 150)","Tank level drops to 0.1m, P-401 cavitation, Pump damage 0.5%/sec, Loss of supply pressure","Register 16 (level_clearwell) < 10, Register 33 (pump_dist_health) decreasing",3 min,4 - Major,D - High,HIGH,IF level_clearwell < 0.5m THEN dist_pump_on = FALSE,level_clearwell < 0.5m,"$20,000"
7.1,Distribution,P-401 + XV-401,P-401 Deadhead,Pump running with discharge valve closed,"Write Coil 3 = 1 (dist_pump_on), Write Coil 8 = 0 (valve_401_open)","Pressure spike to 15 bar (normal: 4 bar), Pump deadhead, Pump health degrades 0.3%/sec, Pipe stress >12 bar, Pipe health degrades 0.3%/sec","Register 19 (pressure_dist) > 120, Register 14 (Q_out) = 0, Register 33 (pump_dist_health) decreasing, Register 36 (pipe_dist_health) decreasing",5 min,4 - Major,D - High,HIGH,"IF valve_401_open = FALSE THEN dist_pump_on = FALSE, IF pressure_dist > 10 bar THEN dist_pump_on = FALSE",pressure_dist > 10 bar,"$18,000"
7.2,Distribution,P-401,Excessive Flow Demand,Set flow setpoint above pump capacity,Write Register 2 = 200 (Q_out_sp = 200),"Pump runs at maximum capacity, Clearwell drains faster, Potential cavitation if tank empties","Register 14 (Q_out) capped at 120, Register 16 (level_clearwell) decreasing",Variable,2 - Minor,E - Very High,LOW,None,None,$0
S1,Multi-Node,Multiple,Cascading Failure Attack,Cause maximum equipment damage,"1. Write Coil 10 = 1, Register 1 = 50 (chlorine), 2. Wait 2 min, 3. Write Coil 6 = 0, Coil 7 = 0 (close RO valves), 4. Wait 1 min, 5. Write Coil 4 = 0 (close wellfield valve)","Membrane chemical + mechanical damage, P-201 overpressure, P-101 deadhead, Multiple equipment failures, Complete plant shutdown","Multiple registers: 30, 18, 17, 31, 32, 35, 34 all showing critical values",3 min,5 - Catastrophic,D - High,CRITICAL,Multiple interlocks required,Multiple alarms,"$100,000+"
S2,Multi-Node,RO Membrane,Stealthy Degradation Attack,Slowly degrade equipment without triggering alarms,Write Register 1 = 15 (Cl_dose = 1.5 mg/L just above limit),"Slow membrane degradation 0.2%/sec when active, Gradual rejection loss, Increased TDS in product water, May go unnoticed","Register 30 (membrane_health) slowly decreasing, Register 22 (TDS_perm) slowly increasing",Hours to days,5 - Catastrophic,C - Medium,HIGH,IF Cl_true > 0.05 mg/L THEN ro_feed_pump_on = FALSE,Trend analysis on membrane_health,"$50,000"
S3,Multi-Node,Multiple,Water Quality Sabotage,Contaminate product water,"1. Write Coil 6 = 0, Coil 7 = 0 (damage membrane), 2. Wait for rejection drop, 3. Write Register 0 = 0 (stop pH), 4. Write Register 1 = 50 (overdose Cl2)","High TDS in product (>100 µS/cm), Low pH (<6.5), High chlorine (>2.0 mg/L), Regulatory violations, Public health risk","Register 22 (TDS_perm) > 100, Register 23 (pH_true) < 650, Register 24 (Cl_true) > 200",Variable,5 - Catastrophic,D - High,CRITICAL,Multiple interlocks + water quality monitoring,Multiple water quality alarms,"$100,000+"
